what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239770250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239772714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239775463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239776440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239777180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239828206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239835610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239837505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239838826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239841349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239842224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239843680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239845740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239846200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239846755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239849569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239850468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239852482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239861825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239864960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239866400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239875798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239891442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239893038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239894362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239897983
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343239901091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239905055
error,log,,,"Failed to load properties file for project 'Menu'",1343239920457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239920549
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343239926506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343239931842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239937027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239938253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343239938334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239946063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239946923
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1343239946929
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.menu.MenuEditor",1343239948014
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.menu.MenuEditor",1343239948052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239954690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239964619
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343239967076
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343239970095
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343239970183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343239972603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343239973969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239975178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239979600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343239982218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343239983008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343239985026
