what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed to add marker 'com.android.ide.eclipse.adt.lintProblem' to '/Player/AndroidManifest.xml'",1343944421530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343944431153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343944478569
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.indent",1343944486682
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1343944546354
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343944550834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343944551294
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343944598866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343944601101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1343944601497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343944604149
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343944624111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343944703071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343944710428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343944712449
error,log,,,"Failed to add marker 'com.android.ide.eclipse.adt.lintProblem' to '/Player/AndroidManifest.xml'",1343944712475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343944713431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343944778146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343944846660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343944851378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343944852151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343944853856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343944891823
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343944923553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1343944951038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343944953562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343944954983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343945000061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343945000991
error,log,,,"Failed to add marker 'com.android.ide.eclipse.adt.lintProblem' to '/Player/AndroidManifest.xml'",1343945001018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343945002205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343945050160
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343945054018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343945121302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343945124178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343945125221
error,log,,,"",1343945125239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343945127444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343945133452
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343945271313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1343945271315
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343945272608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.forwardHistory",1343945272610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343945275981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343945280748
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1343945283743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343945300533
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343945306402
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343945307850
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343945308822
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1343945312893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343945334438
